Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Variant Image,Variant Weight Unit,Status,Collection
ninja-dz071-foodi-6-in-1-flexbasket-air-fryer-with-7-qt-megazone,,,,,,,,,,,,,,,,,,,,https://i.ebayimg.com/images/g/28MAAOSwzgNoBpNW/s-l1600.jpg,4,Ninja DZ071 Foodi 6-in-1 FlexBasket Air Fryer with 7-QT MegaZone - Image 4,,,,,,,,
ninja-dz071-foodi-6-in-1-flexbasket-air-fryer-with-7-qt-megazone,,,,,,,,,,,,,,,,,,,,https://i.ebayimg.com/images/g/DO4AAOSwzN1oBpNU/s-l1600.jpg,5,Ninja DZ071 Foodi 6-in-1 FlexBasket Air Fryer with 7-QT MegaZone - Image 5,,,,,,,,
ninja-dz071-foodi-6-in-1-flexbasket-air-fryer-with-7-qt-megazone,,,,,,,,,,,,,,,,,,,,https://i.ebayimg.com/images/g/ki8AAOSw0-FoBpNU/s-l1600.jpg,6,Ninja DZ071 Foodi 6-in-1 FlexBasket Air Fryer with 7-QT MegaZone - Image 6,,,,,,,,
ninja-dz071-foodi-6-in-1-flexbasket-air-fryer-with-7-qt-megazone,,,,,,,,,,,,,,,,,,,,https://i.ebayimg.com/images/g/95MAAOSwPrNoBpNY/s-l1600.jpg,7,Ninja DZ071 Foodi 6-in-1 FlexBasket Air Fryer with 7-QT MegaZone - Image 7,,,,,,,,
ninja-dz071-foodi-6-in-1-flexbasket-air-fryer-with-7-qt-megazone,,,,,,,,,,,,,,,,,,,,https://i.ebayimg.com/images/g/4KgAAOSwp8RoBpNU/s-l1600.jpg,8,Ninja DZ071 Foodi 6-in-1 FlexBasket Air Fryer with 7-QT MegaZone - Image 8,,,,,,,,
ninja-dz071-foodi-6-in-1-flexbasket-air-fryer-with-7-qt-megazone,,,,,,,,,,,,,,,,,,,,https://i.ebayimg.com/images/g/ZqUAAOSwgrhoBpNU/s-l1600.jpg,9,Ninja DZ071 Foodi 6-in-1 FlexBasket Air Fryer with 7-QT MegaZone - Image 9,,,,,,,,
ninja-dz071-foodi-6-in-1-flexbasket-air-fryer-with-7-qt-megazone,,,,,,,,,,,,,,,,,,,,https://i.ebayimg.com/images/g/2PcAAOSwB5doBpNU/s-l1600.jpg,10,Ninja DZ071 Foodi 6-in-1 FlexBasket Air Fryer with 7-QT MegaZone - Image 10,,,,,,,,
playstation-ghost-of-tsushima-6-jin-sakai-samurai-action-figure-2-accessories,PlayStation Ghost of Tsushima 6” Jin Sakai Samurai Action Figure 2 Accessories,"<h2>PlayStation Ghost of Tsushima 6” Jin Sakai Samurai Action Figure 2 Accessories</h2>
<table><tbody><tr><td><strong>Condition</strong></td><td>New</td></tr><tr><td><strong>Category</strong></td><td>Action Figures</td></tr><tr><td><strong>UPC</strong></td><td>Does not apply</td></tr></tbody></table>
<p><small>eBay: <a href=""https://www.ebay.com/itm/146535880336"">#146535880336</a></small></p>",Collectiblethang,Toys & Collectibles,Action Figures,"condition:new, ebay-cat:action-figures, currency:usd, ebay:146535880336",TRUE,Title,Default Title,EBAY-146535880336,0,shopify,4,deny,manual,34.00,,TRUE,TRUE,https://i.ebayimg.com/images/g/OqsAAOSwuoVoBreF/s-l1600.jpg,1,PlayStation Ghost of Tsushima 6” Jin Sakai Samurai Action Figure 2 Accessories,FALSE,PlayStation Ghost of Tsushima 6” Jin Sakai Samurai Action Figure 2 Acc,"PlayStation Ghost of Tsushima 6” Jin Sakai Samurai Action Figure 2 Accessories
ConditionNewCategoryAction FiguresUPCDoes not apply
eBay: #146535880336",Toys & Games > Toys > Action Figures,,kg,active,Action Figures
playstation-ghost-of-tsushima-6-jin-sakai-samurai-action-figure-2-accessories,,,,,,,,,,,,,,,,,,,,https://i.ebayimg.com/images/g/2j0AAOSwvtRoBreF/s-l1600.jpg,2,PlayStation Ghost of Tsushima 6” Jin Sakai Samurai Action Figure 2 Accessories - Image 2,,,,,,,,
playstation-ghost-of-tsushima-6-jin-sakai-samurai-action-figure-2-accessories,,,,,,,,,,,,,,,,,,,,https://i.ebayimg.com/images/g/HxIAAOSwnv5oBreF/s-l1600.jpg,3,PlayStation Ghost of Tsushima 6” Jin Sakai Samurai Action Figure 2 Accessories - Image 3,,,,,,,,
